DateTime,Entries,UniqueIPs
1591852624,4783,4783
1591853670,4809,4809
1591857271,4793,4793
1591858474,4826,4826
1591859863,4772,4772
1591860867,4765,4765
1591862133,4772,4772
1591863930,4794,4794
1591864470,4784,4784
1591865924,4675,4675
1591867101,4681,4681
1591868072,4669,4669
1591869330,4684,4684
1591871669,4581,4581
1591872929,4594,4594
1591874339,4542,4542
1591876235,4565,4565
1591878331,4545,4545
1591878871,4524,4524
1591880666,4492,4492
1591882471,4490,4490
1591884802,4432,4432
1591887030,4424,4424
1591889672,4353,4353
1591891345,4310,4310
1591893270,4313,4313
1591895883,4262,4262
1591896988,4257,4257
1591899391,4237,4237
1591900469,4213,4213
1591901567,4161,4161
1591903027,4158,4158
1591904070,4060,4060
1591905280,4350,4350
1591907139,4324,4324
1591907670,4315,4315
1591909207,4280,4280
1591910501,4280,4280
1591912235,4276,4276
1591913861,4235,4235
1591914871,4208,4208
1591916630,4218,4218
1591917735,4221,4221
1591919217,4195,4195
1591921532,4158,4158
1591923032,4191,4191
1591924370,4134,4134
1591925671,4150,4150
1591928733,4156,4156
1591929977,4198,4198
1591932193,4164,4164
1591932870,4162,4162
1591935935,4166,4166
1591936475,4170,4170
1591937591,4182,4182
1591939429,4201,4201
1591940071,4200,4200
1591941264,4231,4231
1591943132,4262,4262
1591943667,4263,4263
1591945066,4272,4272
1591946673,4265,4265
1591947264,4257,4257
1591949353,4200,4200
1591950920,4165,4165
1591952656,3790,3790
1591954470,3765,3765
1591957109,3614,3614
1591959033,3582,3582
1591960405,3493,3493
1591961673,3446,3446
1591964029,3357,3357
1591966230,3306,3306
1591968869,3216,3216
1591970153,3210,3210
1591971444,3128,3128
1591972473,3126,3126
1591974430,3029,3029
1591975532,3032,3032
1591977036,2923,2923
1591978939,2903,2903
1591979670,2907,2907
1591982733,2868,2868
1591984231,2868,2868
1591986330,2850,2850
1591987472,2823,2823
1591990473,2781,2781
1591991927,2751,2751
1591993531,2753,2753
1591995033,2692,2692
1591996333,2684,2684
1591997670,2690,2690
1592000390,2625,2625
1592001282,2621,2621
1592003535,2571,2571
1592004869,2567,2567
1592007932,2549,2549
1592009437,2521,2521
1592011534,2456,2456
1592013135,2441,2441
1592015672,2381,2381
1592016812,2381,2381
1592018733,2318,2318
1592020236,2272,2272
1592021759,2264,2264
1592022871,2291,2291
1592024524,2299,2299
1592026468,2285,2285
1592027604,2263,2263
1592028959,2243,2243
1592030205,2232,2232
1592032192,2285,2285
1592033669,2269,2269
1592036728,2279,2279
1592037828,2279,2279
1592039700,2296,2296
1592040868,2270,2270
1592042238,2270,2270
1592043590,2280,2280
1592045432,2267,2267
1592048066,2255,2255
1592049975,2272,2272
1592051111,2280,2280
1592052634,2671,2671
1592055271,2695,2695
1592058870,2743,2743
1592059971,2747,2747
1592061193,2733,2733
1592062469,2762,2762
1592064081,2762,2762
1592066068,2766,2766
1592067811,2762,2762
1592068944,2764,2764
1592070637,2755,2755
1592073266,2749,2749
1592075270,2381,2381
1592076598,2357,2357
1592076869,2362,2362
1592080471,2350,2350
1592081568,2344,2344
1592083530,2337,2337
1592084067,2332,2332
1592085795,2351,2351
1592087672,2339,2339
1592088947,2445,2445
1592090729,2430,2430
1592091859,2517,2517
1592093391,2494,2494
1592094872,2494,2494
1592099398,2642,2642
1592102071,2572,2572
1592104526,2744,2744
1592105634,2735,2735
1592107152,2871,2871
1592108637,2877,2877
1592109274,2856,2856
1592110649,2846,2846
1592112872,2788,2788
1592115113,3115,3115
1592116469,3125,3125
1592118423,3272,3272
1592120068,3279,3279
1592121370,3393,3393
1592123130,3419,3419
1592124458,3545,3545
1592126732,3552,3552
1592128237,3712,3712
1592129749,3729,3729
1592130870,3733,3733
1592133930,3842,3842
1592135532,3936,3936
1592137352,3936,3936
1592138076,3938,3938
1592141133,4044,4044
1592142731,4137,4137
1592144543,4150,4150
1592145269,4149,4149
1592148869,4244,4244
1592150083,4346,4346
1592151324,4333,4333
1592152469,4332,4332
1592154552,4399,4399
1592156070,4372,4372
1592157546,4442,4442
1592159131,4554,4554
1592159669,4548,4548
1592163267,4558,4558
1592164486,4622,4622
1592166001,4625,4625
1592167934,4690,4690
1592169263,4686,4686
1592170607,4685,4685
1592173237,4749,4749
1592174073,4744,4744
1592175957,4975,4975
1592177669,4943,4943
1592179154,5038,5038
1592180732,5025,5025
1592181268,5024,5024
1592182369,5095,5095
1592183579,5098,5098
1592185052,5116,5116
1592187935,5228,5228
1592188475,5223,5223
1592190285,5309,5309
1592191534,5326,5326
1592193038,5359,5359
1592195675,5334,5334
1592197971,5332,5332
1592199531,5350,5350
1592201866,5287,5287
1592202882,5277,5277
1592204531,5294,5294
1592205938,5309,5309
1592207102,5297,5297
1592208585,5288,5288
1592210103,5265,5265
1592211262,5278,5278
1592212623,5288,5288
1592213683,5259,5259
1592215146,5264,5264
1592216443,5262,5262
1592217267,5243,5243
1592218587,5270,5270
1592220032,5267,5267
1592220879,5259,5259
1592222340,4973,4973
1592223938,4988,4988
1592224474,4959,4959
1592225973,5273,5273
1592227106,5336,5336
1592228074,5312,5312
1592231161,5728,5728
1592233775,6245,6245
1592235280,6247,6247
1592236485,6380,6380
1592238330,6380,6380
1592238870,6373,6373
1592240650,6448,6448
1592242471,6442,6442
1592244339,6560,6560
1592245522,6563,6563
1592246879,6711,6711
1592249135,6920,6920
1592250261,7036,7036
1592251658,7031,7031
1592253279,7061,7061
1592255080,7173,7173
1592256868,7236,7236
1592258832,7273,7273
1592260473,7264,7264
1592262433,7308,7308
1592264070,7326,7326
1592266372,7379,7379
1592268640,7422,7422
1592271273,7379,7379
1592274331,7410,7410
1592275843,7463,7463
1592277934,7415,7415
1592279442,7512,7512
1592282077,7493,7493
1592283456,7481,7481
1592285139,7373,7373
1592285687,7355,7355
1592287755,7540,7540
1592289275,7662,7662
1592291059,7707,7707
1592292336,7742,7742
1592293497,7736,7736
1592295940,7810,7810
1592296479,7813,7813
1592298396,7825,7825
1592300080,7847,7847
1592303674,7909,7909
1592306742,7980,7980
1592308029,8001,8001
1592310340,7995,7995
1592311845,7950,7950
1592314480,8064,8064
1592318080,8024,8024
1592319196,8117,8117
1592320619,8065,8065
1592321673,8057,8057
1592323137,8052,8052
1592324732,8083,8083
1592325267,8103,8103
1592328871,8072,8072
1592331814,8072,8072
1592332475,8081,8081
1592334060,8090,8090
1592335530,8096,8096
1592336936,8110,8110
1592338131,8049,8049
1592339698,8043,8043
1592342141,8043,8043
1592344171,8137,8137
1592346876,7995,7995
1592348533,8048,8048
1592349935,8053,8053
1592351420,8081,8081
